checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,residence_since,property_magnitude,age,housing,existing_credits,job,num_dependents,foreign_worker,class
Medium,24,existing paid,radio/tv,2896,Medium,Amateur,2,male single,1,car,29,own,1,skilled,1,yes,1
Low,6,critical/other existing credit,new car,4716,No Savings,Amateur,1,male single,3,real estate,44,own,2,unskilled resident,2,yes,1
No Checking,24,existing paid,radio/tv,2284,Low,Experienced,4,male single,2,car,28,own,1,skilled,1,yes,1
No Checking,6,existing paid,used car,1236,High,Professional,2,male single,4,life insurance,50,rent,1,skilled,1,yes,1
Medium,12,existing paid,radio/tv,1103,Low,Experienced,4,male single,3,real estate,29,own,2,skilled,1,no,1
No Checking,12,critical/other existing credit,new car,926,Low,Unemployed,1,female div/dep/mar,2,life insurance,38,own,1,unemp/unskilled non res,1,yes,1
No Checking,18,critical/other existing credit,radio/tv,1800,Low,Professional,4,male single,2,car,24,own,2,skilled,1,yes,1
High,15,existing paid,education,1905,Low,Expert,4,male single,4,car,40,rent,1,high qualif/self emp/mgmt,1,yes,1
No Checking,12,existing paid,furniture/equipment,1123,High,Professional,4,female div/dep/mar,4,car,29,rent,1,unskilled resident,1,yes,0
Low,48,critical/other existing credit,used car,6331,Low,Expert,4,male single,4,no known property,46,for free,2,skilled,1,yes,0
High,24,existing paid,radio/tv,1377,Medium,Expert,4,female div/dep/mar,2,no known property,47,for free,1,skilled,1,yes,1
Medium,30,delayed previously,business,2503,Medium,Expert,4,male single,2,life insurance,41,own,2,skilled,1,yes,1
Medium,27,existing paid,business,2528,Low,Amateur,4,female div/dep/mar,1,life insurance,32,own,1,skilled,2,yes,1
No Checking,15,existing paid,new car,5324,High,Expert,1,female div/dep/mar,4,no known property,35,for free,1,skilled,1,yes,1
Medium,48,existing paid,new car,6560,Medium,Experienced,3,male single,2,life insurance,24,own,1,skilled,1,yes,0
Medium,12,no credits/all paid,furniture/equipment,2969,Low,Amateur,4,female div/dep/mar,3,life insurance,25,rent,2,skilled,1,yes,0
Medium,9,existing paid,radio/tv,1206,Low,Expert,4,female div/dep/mar,4,real estate,25,own,1,skilled,1,yes,1
Medium,9,existing paid,radio/tv,2118,Low,Professional,2,male single,2,real estate,37,own,1,unskilled resident,2,yes,1
No Checking,18,critical/other existing credit,radio/tv,629,High,Expert,4,male single,3,life insurance,32,own,2,high qualif/self emp/mgmt,1,yes,1
Low,6,all paid,education,1198,Low,Expert,4,female div/dep/mar,4,no known property,35,for free,1,skilled,1,yes,0
No Checking,21,existing paid,used car,2476,No Savings,Expert,4,male single,4,real estate,46,own,1,high qualif/self emp/mgmt,1,yes,1
Low,9,critical/other existing credit,radio/tv,1138,Low,Professional,4,male single,4,real estate,25,own,2,unskilled resident,1,yes,1
Medium,60,existing paid,new car,14027,Low,Experienced,4,male single,2,no known property,27,own,1,high qualif/self emp/mgmt,1,yes,0
No Checking,30,critical/other existing credit,used car,7596,No Savings,Expert,1,male single,4,car,63,own,2,skilled,1,yes,1
No Checking,30,critical/other existing credit,radio/tv,3077,No Savings,Expert,3,male single,2,car,40,own,2,skilled,2,yes,1
No Checking,18,existing paid,radio/tv,1505,Low,Professional,4,male single,2,no known property,32,for free,1,high qualif/self emp/mgmt,1,yes,1
High,24,critical/other existing credit,radio/tv,3148,No Savings,Professional,3,male single,2,car,31,own,2,skilled,1,yes,1
Medium,20,no credits/all paid,used car,6148,Medium,Expert,3,male mar/wid,4,car,31,own,2,skilled,1,yes,1
High,9,no credits/all paid,radio/tv,1337,Low,Amateur,4,male single,2,car,34,own,2,high qualif/self emp/mgmt,1,yes,0
Medium,6,all paid,education,433,High,Amateur,4,female div/dep/mar,2,life insurance,24,rent,1,skilled,2,yes,0
Low,12,existing paid,new car,1228,Low,Professional,4,female div/dep/mar,2,real estate,24,own,1,unskilled resident,1,yes,0
Medium,9,existing paid,radio/tv,790,High,Professional,4,female div/dep/mar,3,real estate,66,own,1,unskilled resident,1,yes,1
No Checking,27,existing paid,new car,2570,Low,Professional,3,female div/dep/mar,3,real estate,21,rent,1,skilled,1,yes,0
No Checking,6,critical/other existing credit,new car,250,High,Professional,2,female div/dep/mar,2,real estate,41,own,2,unskilled resident,1,yes,1
No Checking,15,critical/other existing credit,radio/tv,1316,High,Professional,2,male mar/wid,2,life insurance,47,own,2,unskilled resident,1,yes,1
Low,18,existing paid,radio/tv,1882,Low,Professional,4,female div/dep/mar,4,car,25,rent,2,skilled,1,yes,0
Medium,48,all paid,business,6416,Low,Expert,4,female div/dep/mar,3,no known property,59,rent,1,skilled,1,yes,0
High,24,critical/other existing credit,business,1275,High,Professional,2,male div/sep,4,real estate,36,own,2,skilled,1,yes,1
Medium,24,delayed previously,radio/tv,6403,Low,Amateur,1,male single,2,car,33,own,1,skilled,1,yes,1
Low,24,existing paid,radio/tv,1987,Low,Professional,2,male single,4,real estate,21,rent,1,unskilled resident,2,yes,0
Medium,8,existing paid,radio/tv,760,Low,Experienced,4,female div/dep/mar,2,real estate,44,own,1,unskilled resident,1,yes,1
No Checking,24,existing paid,used car,2603,High,Professional,2,female div/dep/mar,4,car,28,rent,1,skilled,1,yes,1
No Checking,4,critical/other existing credit,new car,3380,Low,Experienced,1,female div/dep/mar,1,real estate,37,own,1,skilled,2,yes,1
Medium,36,all paid,domestic appliance,3990,No Savings,Amateur,3,female div/dep/mar,2,no known property,29,own,1,unemp/unskilled non res,1,yes,1
Medium,24,existing paid,used car,11560,Low,Professional,1,female div/dep/mar,4,car,23,rent,2,high qualif/self emp/mgmt,1,yes,0
Low,18,existing paid,new car,4380,Medium,Professional,3,male single,4,car,35,own,1,unskilled resident,2,yes,1
No Checking,6,critical/other existing credit,new car,6761,Low,Experienced,1,male single,3,no known property,45,own,2,high qualif/self emp/mgmt,2,yes,1
Medium,30,no credits/all paid,business,4280,Medium,Professional,4,female div/dep/mar,4,car,26,rent,2,unskilled resident,1,yes,0
Low,24,all paid,new car,2325,Medium,Experienced,2,male single,3,car,32,own,1,skilled,1,yes,1
Medium,10,all paid,radio/tv,1048,Low,Professional,4,male single,4,real estate,23,own,1,unskilled resident,1,yes,1
No Checking,21,existing paid,radio/tv,3160,No Savings,Expert,4,male single,3,life insurance,41,own,1,skilled,1,yes,1
Low,24,all paid,furniture/equipment,2483,High,Professional,4,male single,4,real estate,22,own,1,skilled,1,yes,1
Low,39,critical/other existing credit,furniture/equipment,14179,No Savings,Experienced,4,male single,4,life insurance,30,own,2,high qualif/self emp/mgmt,1,yes,1
Low,13,critical/other existing credit,business,1797,Low,Amateur,3,male single,1,life insurance,28,own,2,unskilled resident,1,yes,1
Low,15,existing paid,new car,2511,Low,Unemployed,1,female div/dep/mar,4,car,23,rent,1,skilled,1,yes,1
Low,12,existing paid,new car,1274,Low,Amateur,3,female div/dep/mar,1,real estate,37,own,1,unskilled resident,1,yes,0
No Checking,21,existing paid,used car,5248,No Savings,Professional,1,male single,3,car,26,own,1,skilled,1,yes,1
No Checking,15,existing paid,used car,3029,Low,Experienced,2,male single,2,car,33,own,1,skilled,1,yes,1
Low,6,existing paid,furniture/equipment,428,Low,Expert,2,female div/dep/mar,1,life insurance,49,own,1,skilled,1,yes,1
Low,18,existing paid,new car,976,Low,Amateur,1,female div/dep/mar,2,car,23,own,1,unskilled resident,1,yes,0
Medium,12,existing paid,business,841,Medium,Experienced,2,female div/dep/mar,4,real estate,23,rent,1,unskilled resident,1,yes,1
No Checking,30,critical/other existing credit,radio/tv,5771,Low,Experienced,4,female div/dep/mar,2,car,25,own,2,skilled,1,yes,1
No Checking,12,delayed previously,repairs,1555,High,Expert,4,male single,4,no known property,55,for free,2,skilled,2,yes,0
Low,24,existing paid,new car,1285,No Savings,Experienced,4,female div/dep/mar,4,no known property,32,rent,1,skilled,1,yes,0
High,6,critical/other existing credit,new car,1299,Low,Professional,1,male single,1,real estate,74,own,3,unemp/unskilled non res,2,no,1
High,15,critical/other existing credit,radio/tv,1271,No Savings,Professional,3,male single,4,no known property,39,for free,2,skilled,1,yes,0
No Checking,24,existing paid,new car,1393,Low,Professional,2,male single,2,real estate,31,own,1,skilled,1,yes,1
Low,12,critical/other existing credit,new car,691,Low,Expert,4,male single,3,life insurance,35,own,2,skilled,1,yes,0
No Checking,15,critical/other existing credit,new car,5045,No Savings,Expert,1,female div/dep/mar,4,car,59,own,1,skilled,1,yes,1
Low,18,critical/other existing credit,furniture/equipment,2124,Low,Professional,4,female div/dep/mar,4,real estate,24,rent,2,skilled,1,yes,0
Low,12,existing paid,radio/tv,2214,Low,Professional,4,male single,3,life insurance,24,own,1,unskilled resident,1,yes,1
No Checking,21,critical/other existing credit,new car,12680,No Savings,Expert,4,male single,4,no known property,30,for free,1,high qualif/self emp/mgmt,1,yes,0
No Checking,24,critical/other existing credit,new car,2463,Medium,Experienced,4,male mar/wid,3,life insurance,27,own,2,skilled,1,yes,1
Medium,12,existing paid,radio/tv,1155,Low,Expert,3,male mar/wid,3,real estate,40,own,2,unskilled resident,1,yes,1
Low,30,existing paid,furniture/equipment,3108,Low,Amateur,2,male div/sep,4,life insurance,31,own,1,unskilled resident,1,yes,0
No Checking,10,existing paid,used car,2901,No Savings,Amateur,1,female div/dep/mar,4,real estate,31,rent,1,skilled,1,yes,1
Medium,12,critical/other existing credit,furniture/equipment,3617,Low,Expert,1,male single,4,car,28,rent,3,skilled,1,yes,1
No Checking,12,critical/other existing credit,radio/tv,1655,Low,Expert,2,male single,4,real estate,63,own,2,unskilled resident,1,yes,1
Low,24,existing paid,used car,2812,No Savings,Expert,2,female div/dep/mar,4,real estate,26,rent,1,skilled,1,yes,1
Low,36,critical/other existing credit,education,8065,Low,Professional,3,female div/dep/mar,2,no known property,25,own,2,high qualif/self emp/mgmt,1,yes,0
No Checking,21,critical/other existing credit,used car,3275,Low,Expert,1,male single,4,car,36,own,1,high qualif/self emp/mgmt,1,yes,1
No Checking,24,critical/other existing credit,radio/tv,2223,Medium,Expert,4,male single,4,life insurance,52,own,2,skilled,1,yes,1
High,12,critical/other existing credit,new car,1480,High,Unemployed,2,male single,4,no known property,66,for free,3,unemp/unskilled non res,1,yes,1
Low,24,existing paid,new car,1371,No Savings,Professional,4,female div/dep/mar,4,real estate,25,rent,1,skilled,1,yes,0
No Checking,36,critical/other existing credit,new car,3535,Low,Experienced,4,male single,4,car,37,own,2,skilled,1,yes,1
Low,18,existing paid,radio/tv,3509,Low,Experienced,4,female div/dep/mar,1,real estate,25,own,1,skilled,1,yes,1
No Checking,36,critical/other existing credit,used car,5711,High,Expert,4,male single,2,car,38,own,2,high qualif/self emp/mgmt,1,yes,1
Medium,18,existing paid,repairs,3872,Low,Unemployed,2,female div/dep/mar,4,car,67,own,1,skilled,1,yes,1
Medium,39,critical/other existing credit,radio/tv,4933,Low,Experienced,2,male single,2,real estate,25,own,2,skilled,1,yes,0
No Checking,24,critical/other existing credit,new car,1940,High,Expert,4,male single,4,real estate,60,own,1,skilled,1,yes,1
Medium,12,no credits/all paid,retraining,1410,Low,Professional,2,male single,2,real estate,31,own,1,unskilled resident,1,yes,1
Medium,12,existing paid,new car,836,Medium,Amateur,4,female div/dep/mar,2,life insurance,23,own,1,unskilled resident,1,yes,0
Medium,20,existing paid,used car,6468,No Savings,Unemployed,1,male div/sep,4,real estate,60,own,1,high qualif/self emp/mgmt,1,yes,1
Medium,18,existing paid,business,1941,High,Professional,4,male single,2,life insurance,35,own,1,unskilled resident,1,yes,1
No Checking,22,existing paid,radio/tv,2675,High,Expert,3,male single,4,car,40,own,1,skilled,1,yes,1
No Checking,48,critical/other existing credit,used car,2751,No Savings,Expert,4,male single,3,car,38,own,2,skilled,2,yes,1
Medium,48,delayed previously,education,6224,Low,Expert,4,male single,4,no known property,50,for free,1,skilled,1,yes,0
Low,40,critical/other existing credit,education,5998,Low,Professional,4,male single,3,no known property,27,own,1,skilled,1,yes,0
Medium,21,existing paid,business,1188,Low,Expert,2,female div/dep/mar,4,life insurance,39,own,1,skilled,2,yes,0
No Checking,24,existing paid,used car,6313,No Savings,Expert,3,male single,4,car,41,own,1,high qualif/self emp/mgmt,2,yes,1
No Checking,6,critical/other existing credit,furniture/equipment,1221,No Savings,Professional,1,male mar/wid,2,life insurance,27,own,2,skilled,1,yes,1
High,24,existing paid,furniture/equipment,2892,Low,Expert,3,male div/sep,4,no known property,51,for free,1,skilled,1,yes,1
No Checking,24,existing paid,furniture/equipment,3062,High,Expert,4,male single,3,no known property,32,rent,1,skilled,1,yes,1
No Checking,9,existing paid,furniture/equipment,2301,Medium,Amateur,2,female div/dep/mar,4,life insurance,22,rent,1,skilled,1,yes,1
Low,18,existing paid,used car,7511,No Savings,Expert,1,male single,4,life insurance,51,for free,1,skilled,2,yes,0
No Checking,12,critical/other existing credit,furniture/equipment,1258,Low,Amateur,2,female div/dep/mar,4,life insurance,22,rent,2,unskilled resident,1,yes,1
No Checking,24,delayed previously,new car,717,No Savings,Expert,4,male mar/wid,4,car,54,own,2,skilled,1,yes,1
Medium,9,existing paid,new car,1549,No Savings,Amateur,4,male single,2,real estate,35,own,1,unemp/unskilled non res,1,yes,1
No Checking,24,critical/other existing credit,education,1597,Low,Expert,4,male single,4,no known property,54,for free,2,skilled,2,yes,1
Medium,18,critical/other existing credit,radio/tv,1795,Low,Expert,3,female div/dep/mar,4,real estate,48,rent,2,unskilled resident,1,yes,1
Low,20,critical/other existing credit,furniture/equipment,4272,Low,Expert,1,female div/dep/mar,4,life insurance,24,own,2,skilled,1,yes,1
No Checking,12,critical/other existing credit,radio/tv,976,No Savings,Expert,4,male single,4,car,35,own,2,skilled,1,yes,1
Medium,12,existing paid,new car,7472,No Savings,Unemployed,1,female div/dep/mar,2,real estate,24,rent,1,unemp/unskilled non res,1,yes,1
Low,36,existing paid,new car,9271,Low,Experienced,2,male single,1,car,24,own,1,skilled,1,yes,0
Medium,6,existing paid,radio/tv,590,Low,Amateur,3,male mar/wid,3,real estate,26,own,1,unskilled resident,1,no,1
No Checking,12,critical/other existing credit,radio/tv,930,No Savings,Expert,4,male single,4,real estate,65,own,4,skilled,1,yes,1
Medium,42,all paid,used car,9283,Low,Unemployed,1,male single,2,no known property,55,for free,1,high qualif/self emp/mgmt,1,yes,1
Medium,15,no credits/all paid,new car,1778,Low,Amateur,2,female div/dep/mar,1,real estate,26,rent,2,unemp/unskilled non res,1,yes,0
Medium,8,existing paid,business,907,Low,Amateur,3,male mar/wid,2,real estate,26,own,1,skilled,1,yes,1
Medium,6,existing paid,radio/tv,484,Low,Experienced,3,male mar/wid,3,real estate,28,own,1,unskilled resident,1,yes,1
Low,36,critical/other existing credit,used car,9629,Low,Experienced,4,male single,4,car,24,own,2,skilled,1,yes,0
Low,48,existing paid,domestic appliance,3051,Low,Professional,3,male single,4,car,54,own,1,skilled,1,yes,0
Low,48,existing paid,new car,3931,Low,Experienced,4,male single,4,no known property,46,for free,1,skilled,2,yes,0
Medium,36,delayed previously,new car,7432,Low,Professional,2,female div/dep/mar,2,life insurance,54,rent,1,skilled,1,yes,1
No Checking,6,existing paid,domestic appliance,1338,High,Professional,1,male div/sep,4,real estate,62,own,1,skilled,1,yes,1
No Checking,6,critical/other existing credit,radio/tv,1554,Low,Experienced,1,female div/dep/mar,2,car,24,rent,2,skilled,1,yes,1
Low,36,existing paid,other,15857,Low,Unemployed,2,male div/sep,3,car,43,own,1,high qualif/self emp/mgmt,1,yes,1
Low,18,existing paid,radio/tv,1345,Low,Professional,4,male mar/wid,3,real estate,26,own,1,skilled,1,yes,0
No Checking,12,existing paid,new car,1101,Low,Professional,3,male mar/wid,2,real estate,27,own,2,skilled,1,yes,1
High,12,existing paid,radio/tv,3016,Low,Professional,3,male mar/wid,1,car,24,own,1,skilled,1,yes,1
Low,36,existing paid,furniture/equipment,2712,Low,Expert,2,male single,2,life insurance,41,own,1,skilled,2,yes,0
Low,8,critical/other existing credit,new car,731,Low,Expert,4,male single,4,real estate,47,own,2,unskilled resident,1,yes,1
No Checking,18,critical/other existing credit,furniture/equipment,3780,Low,Amateur,3,male div/sep,2,car,35,own,2,high qualif/self emp/mgmt,1,yes,1
Low,21,critical/other existing credit,new car,1602,Low,Expert,4,male mar/wid,3,car,30,own,2,skilled,1,yes,1
Low,18,critical/other existing credit,new car,3966,Low,Expert,1,female div/dep/mar,4,real estate,33,rent,3,skilled,1,yes,0
No Checking,18,no credits/all paid,business,4165,Low,Professional,2,male single,2,car,36,own,2,skilled,2,yes,0
Low,36,existing paid,used car,8335,No Savings,Expert,3,male single,4,no known property,47,for free,1,skilled,1,yes,0
Medium,48,delayed previously,business,6681,No Savings,Professional,4,male single,4,no known property,38,for free,1,skilled,2,yes,1
No Checking,24,delayed previously,business,2375,High,Professional,4,male single,2,car,44,own,2,skilled,2,yes,1
Low,18,existing paid,new car,1216,Low,Amateur,4,female div/dep/mar,3,car,23,rent,1,skilled,1,yes,0
Low,45,no credits/all paid,business,11816,Low,Expert,2,male single,4,car,29,rent,2,skilled,1,yes,0
Medium,24,existing paid,radio/tv,5084,No Savings,Expert,2,female div/dep/mar,4,car,42,own,1,skilled,1,yes,1
High,15,existing paid,radio/tv,2327,Low,Amateur,2,female div/dep/mar,3,real estate,25,own,1,unskilled resident,1,yes,0
Low,12,no credits/all paid,new car,1082,Low,Professional,4,male single,4,car,48,own,2,skilled,1,yes,0
No Checking,12,existing paid,radio/tv,886,No Savings,Professional,4,female div/dep/mar,2,car,21,own,1,skilled,1,yes,1
No Checking,4,existing paid,furniture/equipment,601,Low,Amateur,1,female div/dep/mar,3,real estate,23,rent,1,unskilled resident,2,yes,1
Low,24,critical/other existing credit,used car,2957,Low,Expert,4,male single,4,life insurance,63,own,2,skilled,1,yes,1
No Checking,24,critical/other existing credit,radio/tv,2611,Low,Expert,4,male mar/wid,3,real estate,46,own,2,skilled,1,yes,1
Low,36,existing paid,furniture/equipment,5179,Low,Experienced,4,male single,2,life insurance,29,own,1,skilled,1,yes,0
No Checking,21,delayed previously,used car,2993,Low,Professional,3,male single,2,real estate,28,own,2,unskilled resident,1,yes,1
No Checking,18,existing paid,repairs,1943,Low,Amateur,4,female div/dep/mar,4,real estate,23,own,1,skilled,1,yes,0
No Checking,24,all paid,business,1559,Low,Experienced,4,male single,4,car,50,own,1,skilled,1,yes,1
No Checking,18,existing paid,furniture/equipment,3422,Low,Expert,4,male single,4,life insurance,47,own,3,skilled,2,yes,1
Medium,21,existing paid,furniture/equipment,3976,No Savings,Experienced,2,male single,3,car,35,own,1,skilled,1,yes,1
No Checking,18,existing paid,new car,6761,No Savings,Professional,2,male single,4,car,68,rent,2,skilled,1,yes,0
No Checking,24,existing paid,new car,1249,Low,Amateur,4,male mar/wid,2,real estate,28,own,1,skilled,1,yes,1
Low,9,existing paid,radio/tv,1364,Low,Experienced,3,male single,4,real estate,59,own,1,skilled,1,yes,1
Low,12,existing paid,radio/tv,709,Low,Expert,4,male single,4,real estate,57,own,1,unskilled resident,1,yes,0
Low,20,critical/other existing credit,new car,2235,Low,Professional,4,male mar/wid,2,life insurance,33,rent,2,skilled,1,no,0
No Checking,24,critical/other existing credit,used car,4042,No Savings,Experienced,3,male single,4,life insurance,43,own,2,skilled,1,yes,1
No Checking,15,critical/other existing credit,radio/tv,1471,Low,Professional,4,male single,4,no known property,35,for free,2,skilled,1,yes,1
Low,18,all paid,new car,1442,Low,Experienced,4,male single,4,no known property,32,for free,2,unskilled resident,2,yes,0
No Checking,36,delayed previously,new car,10875,Low,Expert,2,male single,2,car,45,own,2,skilled,2,yes,1
No Checking,24,existing paid,new car,1474,Medium,Amateur,4,male mar/wid,3,real estate,33,own,1,skilled,1,yes,1
No Checking,10,existing paid,retraining,894,No Savings,Experienced,4,female div/dep/mar,3,life insurance,40,own,1,skilled,1,yes,1
No Checking,15,critical/other existing credit,furniture/equipment,3343,Low,Professional,4,male single,2,no known property,28,for free,1,skilled,1,yes,1
Low,15,existing paid,new car,3959,Low,Professional,3,female div/dep/mar,2,life insurance,29,own,1,skilled,1,yes,0
No Checking,9,existing paid,new car,3577,Medium,Professional,1,male single,2,real estate,26,rent,1,skilled,2,no,1
No Checking,24,critical/other existing credit,used car,5804,High,Professional,4,male single,2,real estate,27,own,2,skilled,1,yes,1
No Checking,18,delayed previously,business,2169,Low,Professional,4,male mar/wid,2,car,28,own,1,skilled,1,yes,0
Low,24,existing paid,radio/tv,2439,Low,Amateur,4,female div/dep/mar,4,real estate,35,own,1,skilled,1,yes,0
No Checking,27,critical/other existing credit,furniture/equipment,4526,High,Amateur,4,male single,2,real estate,32,own,2,unskilled resident,2,yes,1
No Checking,10,existing paid,furniture/equipment,2210,Low,Professional,2,male single,2,real estate,25,rent,1,unskilled resident,1,yes,0
No Checking,15,existing paid,furniture/equipment,2221,High,Professional,2,female div/dep/mar,4,car,20,rent,1,skilled,1,yes,1
Low,18,existing paid,radio/tv,2389,Low,Amateur,4,female div/dep/mar,1,car,27,own,1,skilled,1,yes,1
No Checking,12,critical/other existing credit,furniture/equipment,3331,Low,Expert,2,male single,4,life insurance,42,own,1,skilled,1,yes,1
No Checking,36,existing paid,business,7409,No Savings,Expert,3,male single,2,life insurance,37,own,2,skilled,1,yes,1
Low,12,existing paid,furniture/equipment,652,Low,Expert,4,female div/dep/mar,4,life insurance,24,rent,1,skilled,1,yes,1
No Checking,36,delayed previously,furniture/equipment,7678,High,Experienced,2,female div/dep/mar,4,car,40,own,2,skilled,1,yes,1
High,6,critical/other existing credit,new car,1343,Low,Expert,1,male single,4,real estate,46,own,2,skilled,2,no,1
Low,24,critical/other existing credit,business,1382,Medium,Experienced,4,male single,1,real estate,26,own,2,skilled,1,yes,1
No Checking,15,existing paid,domestic appliance,874,No Savings,Amateur,4,female div/dep/mar,1,real estate,24,own,1,skilled,1,yes,1
Low,12,existing paid,furniture/equipment,3590,Low,Professional,2,male single,2,life insurance,29,own,1,unskilled resident,2,yes,1
Medium,11,critical/other existing credit,new car,1322,High,Professional,4,female div/dep/mar,4,car,40,own,2,skilled,1,yes,1
Low,18,all paid,radio/tv,1940,Low,Amateur,3,male single,4,no known property,36,for free,1,high qualif/self emp/mgmt,1,yes,1
No Checking,36,existing paid,radio/tv,3595,Low,Expert,4,male single,2,car,28,own,1,skilled,1,yes,1
Low,9,existing paid,new car,1422,Low,Amateur,3,male single,2,no known property,27,for free,1,high qualif/self emp/mgmt,1,yes,0
No Checking,30,critical/other existing credit,radio/tv,6742,No Savings,Experienced,2,male single,3,life insurance,36,own,2,skilled,1,yes,1
No Checking,24,existing paid,used car,7814,Low,Experienced,3,male single,3,car,38,own,1,high qualif/self emp/mgmt,1,yes,1
No Checking,24,existing paid,used car,9277,No Savings,Professional,2,male div/sep,4,no known property,48,for free,1,skilled,1,yes,1
Medium,30,critical/other existing credit,new car,2181,No Savings,Expert,4,male single,4,real estate,36,own,2,skilled,1,yes,1
No Checking,18,critical/other existing credit,radio/tv,1098,Low,Unemployed,4,female div/dep/mar,4,car,65,own,2,unemp/unskilled non res,1,yes,1
Medium,24,existing paid,furniture/equipment,4057,Low,Experienced,3,male div/sep,3,car,43,own,1,skilled,1,yes,0
Low,12,existing paid,education,795,Low,Amateur,4,female div/dep/mar,4,life insurance,53,own,1,skilled,1,yes,0
Medium,24,critical/other existing credit,business,2825,No Savings,Experienced,4,male single,3,no known property,34,own,2,skilled,2,yes,1
Medium,48,existing paid,business,15672,Low,Professional,2,male single,2,car,23,own,1,skilled,1,yes,0
No Checking,36,critical/other existing credit,new car,6614,Low,Expert,4,male single,4,car,34,own,2,high qualif/self emp/mgmt,1,yes,1
No Checking,28,all paid,used car,7824,No Savings,Amateur,3,male single,4,real estate,40,rent,2,skilled,2,yes,1
Low,27,critical/other existing credit,business,2442,Low,Expert,4,male single,4,car,43,own,4,high qualif/self emp/mgmt,2,yes,1
No Checking,15,critical/other existing credit,radio/tv,1829,Low,Expert,4,male single,4,car,46,own,2,skilled,1,yes,1
Low,12,critical/other existing credit,new car,2171,Low,Professional,4,male single,4,life insurance,38,own,2,unskilled resident,1,no,1
Medium,36,critical/other existing credit,used car,5800,Low,Professional,3,male single,4,car,34,own,2,skilled,1,yes,1
No Checking,18,critical/other existing credit,radio/tv,1169,No Savings,Professional,4,male single,3,life insurance,29,own,2,skilled,1,yes,1
No Checking,36,delayed previously,used car,8947,No Savings,Experienced,3,male single,2,car,31,own,1,high qualif/self emp/mgmt,2,yes,1
Low,21,existing paid,radio/tv,2606,Low,Amateur,4,female div/dep/mar,4,life insurance,28,rent,1,high qualif/self emp/mgmt,1,yes,1
No Checking,12,critical/other existing credit,furniture/equipment,1592,High,Experienced,3,female div/dep/mar,2,life insurance,35,own,1,skilled,1,no,1
No Checking,15,existing paid,furniture/equipment,2186,No Savings,Experienced,1,female div/dep/mar,4,real estate,33,rent,1,unskilled resident,1,yes,1
Low,18,existing paid,furniture/equipment,4153,Low,Professional,2,male single,3,car,42,own,1,skilled,1,yes,0
Low,16,critical/other existing credit,new car,2625,Low,Expert,2,male single,4,life insurance,43,rent,1,skilled,1,yes,0
No Checking,20,critical/other existing credit,new car,3485,No Savings,Amateur,2,male div/sep,4,real estate,44,own,2,skilled,1,yes,1
No Checking,36,critical/other existing credit,used car,10477,No Savings,Expert,2,male single,4,no known property,42,for free,2,skilled,1,yes,1
No Checking,15,existing paid,radio/tv,1386,No Savings,Professional,4,male mar/wid,2,real estate,40,rent,1,skilled,1,yes,1
No Checking,24,existing paid,radio/tv,1278,Low,Expert,4,male single,1,real estate,36,own,1,high qualif/self emp/mgmt,1,yes,1
Low,12,existing paid,radio/tv,1107,Low,Professional,2,male single,2,real estate,20,rent,1,high qualif/self emp/mgmt,2,yes,1
Low,21,existing paid,new car,3763,No Savings,Experienced,2,male single,2,real estate,24,own,1,unskilled resident,1,no,1
Medium,36,existing paid,education,3711,No Savings,Professional,2,male mar/wid,2,car,27,own,1,skilled,1,yes,1
No Checking,15,delayed previously,used car,3594,Low,Amateur,1,female div/dep/mar,2,life insurance,46,own,2,unskilled resident,1,yes,1
Medium,9,existing paid,new car,3195,No Savings,Professional,1,female div/dep/mar,2,real estate,33,own,1,unskilled resident,1,yes,1
No Checking,36,delayed previously,radio/tv,4454,Low,Professional,4,female div/dep/mar,4,real estate,34,own,2,skilled,1,yes,1
Medium,24,critical/other existing credit,furniture/equipment,4736,Low,Amateur,2,female div/dep/mar,4,car,25,own,1,unskilled resident,1,yes,0
Medium,30,existing paid,radio/tv,2991,No Savings,Expert,2,female div/dep/mar,4,car,25,own,1,skilled,1,yes,1
No Checking,11,existing paid,business,2142,High,Expert,1,male div/sep,2,real estate,28,own,1,skilled,1,yes,1
Low,24,all paid,business,3161,Low,Professional,4,male single,2,life insurance,31,rent,1,skilled,1,yes,0
Medium,48,no credits/all paid,other,18424,Low,Professional,1,female div/dep/mar,2,life insurance,32,own,1,high qualif/self emp/mgmt,1,no,0
No Checking,10,existing paid,used car,2848,Medium,Professional,1,male single,2,real estate,32,own,1,skilled,2,yes,1
Low,6,existing paid,new car,14896,Low,Expert,1,male single,4,no known property,68,own,1,high qualif/self emp/mgmt,1,yes,0
Low,24,existing paid,furniture/equipment,2359,Medium,Unemployed,1,male div/sep,1,life insurance,33,own,1,skilled,1,yes,0
Low,24,existing paid,furniture/equipment,3345,Low,Expert,4,male single,2,life insurance,39,rent,1,high qualif/self emp/mgmt,1,yes,0
No Checking,18,critical/other existing credit,furniture/equipment,1817,Low,Professional,4,female div/dep/mar,2,no known property,28,own,2,skilled,1,yes,1
No Checking,48,delayed previously,radio/tv,12749,High,Experienced,4,male single,1,car,37,own,1,high qualif/self emp/mgmt,1,yes,1
Low,9,existing paid,radio/tv,1366,Low,Amateur,3,female div/dep/mar,4,life insurance,22,rent,1,skilled,1,yes,0
