checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,residence_since,property_magnitude,age,housing,existing_credits,job,num_dependents,foreign_worker,class
No Checking,12,existing paid,radio/tv,2279,No Savings,1<=X<4,4,male single,4,no known property,37,for free,1,skilled,1,yes,1
No Checking,15,delayed previously,radio/tv,1478,Low,1<=X<4,4,male mar/wid,3,real estate,33,own,2,skilled,1,yes,1
No Checking,24,critical/other existing credit,radio/tv,5103,Low,<1,3,male mar/wid,3,no known property,47,for free,3,skilled,1,yes,1
Medium,36,delayed previously,business,9857,Medium,4<=X<7,1,male single,3,life insurance,31,own,2,unskilled resident,2,yes,1
No Checking,60,existing paid,new car,6527,No Savings,1<=X<4,4,male single,4,no known property,34,for free,1,skilled,2,yes,1
High,10,critical/other existing credit,radio/tv,1347,No Savings,4<=X<7,4,male single,2,life insurance,27,own,2,skilled,1,yes,1
Medium,36,delayed previously,new car,2862,Medium,>=7,4,male single,3,no known property,30,for free,1,skilled,1,yes,1
No Checking,9,existing paid,radio/tv,2753,Medium,>=7,3,male single,4,car,35,own,1,skilled,1,yes,1
Low,12,existing paid,new car,3651,High,1<=X<4,1,male single,3,life insurance,31,own,1,skilled,2,yes,1
Low,15,critical/other existing credit,furniture/equipment,975,Low,1<=X<4,2,male div/sep,3,life insurance,25,own,2,skilled,1,yes,1
Medium,15,existing paid,repairs,2631,Medium,1<=X<4,3,female div/dep/mar,2,real estate,25,own,1,unskilled resident,1,yes,1
Medium,24,existing paid,radio/tv,2896,Medium,<1,2,male single,1,car,29,own,1,skilled,1,yes,1
Low,6,critical/other existing credit,new car,4716,No Savings,<1,1,male single,3,real estate,44,own,2,unskilled resident,2,yes,1
No Checking,24,existing paid,radio/tv,2284,Low,4<=X<7,4,male single,2,car,28,own,1,skilled,1,yes,1
No Checking,6,existing paid,used car,1236,High,1<=X<4,2,male single,4,life insurance,50,rent,1,skilled,1,yes,1
Medium,12,existing paid,radio/tv,1103,Low,4<=X<7,4,male single,3,real estate,29,own,2,skilled,1,no,1
No Checking,12,critical/other existing credit,new car,926,Low,unemployed,1,female div/dep/mar,2,life insurance,38,own,1,unemp/unskilled non res,1,yes,1
No Checking,18,critical/other existing credit,radio/tv,1800,Low,1<=X<4,4,male single,2,car,24,own,2,skilled,1,yes,1
High,15,existing paid,education,1905,Low,>=7,4,male single,4,car,40,rent,1,high qualif/self emp/mgmt,1,yes,1
No Checking,12,existing paid,furniture/equipment,1123,High,1<=X<4,4,female div/dep/mar,4,car,29,rent,1,unskilled resident,1,yes,0
Low,48,critical/other existing credit,used car,6331,Low,>=7,4,male single,4,no known property,46,for free,2,skilled,1,yes,0
High,24,existing paid,radio/tv,1377,Medium,>=7,4,female div/dep/mar,2,no known property,47,for free,1,skilled,1,yes,1
Medium,30,delayed previously,business,2503,Medium,>=7,4,male single,2,life insurance,41,own,2,skilled,1,yes,1
Medium,27,existing paid,business,2528,Low,<1,4,female div/dep/mar,1,life insurance,32,own,1,skilled,2,yes,1
No Checking,15,existing paid,new car,5324,High,>=7,1,female div/dep/mar,4,no known property,35,for free,1,skilled,1,yes,1
Medium,48,existing paid,new car,6560,Medium,4<=X<7,3,male single,2,life insurance,24,own,1,skilled,1,yes,0
Medium,12,no credits/all paid,furniture/equipment,2969,Low,<1,4,female div/dep/mar,3,life insurance,25,rent,2,skilled,1,yes,0
Medium,9,existing paid,radio/tv,1206,Low,>=7,4,female div/dep/mar,4,real estate,25,own,1,skilled,1,yes,1
Medium,9,existing paid,radio/tv,2118,Low,1<=X<4,2,male single,2,real estate,37,own,1,unskilled resident,2,yes,1
No Checking,18,critical/other existing credit,radio/tv,629,High,>=7,4,male single,3,life insurance,32,own,2,high qualif/self emp/mgmt,1,yes,1
Low,6,all paid,education,1198,Low,>=7,4,female div/dep/mar,4,no known property,35,for free,1,skilled,1,yes,0
No Checking,21,existing paid,used car,2476,No Savings,>=7,4,male single,4,real estate,46,own,1,high qualif/self emp/mgmt,1,yes,1
Low,9,critical/other existing credit,radio/tv,1138,Low,1<=X<4,4,male single,4,real estate,25,own,2,unskilled resident,1,yes,1
Medium,60,existing paid,new car,14027,Low,4<=X<7,4,male single,2,no known property,27,own,1,high qualif/self emp/mgmt,1,yes,0
No Checking,30,critical/other existing credit,used car,7596,No Savings,>=7,1,male single,4,car,63,own,2,skilled,1,yes,1
No Checking,30,critical/other existing credit,radio/tv,3077,No Savings,>=7,3,male single,2,car,40,own,2,skilled,2,yes,1
No Checking,18,existing paid,radio/tv,1505,Low,1<=X<4,4,male single,2,no known property,32,for free,1,high qualif/self emp/mgmt,1,yes,1
High,24,critical/other existing credit,radio/tv,3148,No Savings,1<=X<4,3,male single,2,car,31,own,2,skilled,1,yes,1
Medium,20,no credits/all paid,used car,6148,Medium,>=7,3,male mar/wid,4,car,31,own,2,skilled,1,yes,1
High,9,no credits/all paid,radio/tv,1337,Low,<1,4,male single,2,car,34,own,2,high qualif/self emp/mgmt,1,yes,0
Medium,6,all paid,education,433,High,<1,4,female div/dep/mar,2,life insurance,24,rent,1,skilled,2,yes,0
Low,12,existing paid,new car,1228,Low,1<=X<4,4,female div/dep/mar,2,real estate,24,own,1,unskilled resident,1,yes,0
Medium,9,existing paid,radio/tv,790,High,1<=X<4,4,female div/dep/mar,3,real estate,66,own,1,unskilled resident,1,yes,1
No Checking,27,existing paid,new car,2570,Low,1<=X<4,3,female div/dep/mar,3,real estate,21,rent,1,skilled,1,yes,0
No Checking,6,critical/other existing credit,new car,250,High,1<=X<4,2,female div/dep/mar,2,real estate,41,own,2,unskilled resident,1,yes,1
No Checking,15,critical/other existing credit,radio/tv,1316,High,1<=X<4,2,male mar/wid,2,life insurance,47,own,2,unskilled resident,1,yes,1
Low,18,existing paid,radio/tv,1882,Low,1<=X<4,4,female div/dep/mar,4,car,25,rent,2,skilled,1,yes,0
Medium,48,all paid,business,6416,Low,>=7,4,female div/dep/mar,3,no known property,59,rent,1,skilled,1,yes,0
High,24,critical/other existing credit,business,1275,High,1<=X<4,2,male div/sep,4,real estate,36,own,2,skilled,1,yes,1
Medium,24,delayed previously,radio/tv,6403,Low,<1,1,male single,2,car,33,own,1,skilled,1,yes,1
Low,24,existing paid,radio/tv,1987,Low,1<=X<4,2,male single,4,real estate,21,rent,1,unskilled resident,2,yes,0
Medium,8,existing paid,radio/tv,760,Low,4<=X<7,4,female div/dep/mar,2,real estate,44,own,1,unskilled resident,1,yes,1
No Checking,24,existing paid,used car,2603,High,1<=X<4,2,female div/dep/mar,4,car,28,rent,1,skilled,1,yes,1
No Checking,4,critical/other existing credit,new car,3380,Low,4<=X<7,1,female div/dep/mar,1,real estate,37,own,1,skilled,2,yes,1
Medium,36,all paid,domestic appliance,3990,No Savings,<1,3,female div/dep/mar,2,no known property,29,own,1,unemp/unskilled non res,1,yes,1
Medium,24,existing paid,used car,11560,Low,1<=X<4,1,female div/dep/mar,4,car,23,rent,2,high qualif/self emp/mgmt,1,yes,0
Low,18,existing paid,new car,4380,Medium,1<=X<4,3,male single,4,car,35,own,1,unskilled resident,2,yes,1
No Checking,6,critical/other existing credit,new car,6761,Low,4<=X<7,1,male single,3,no known property,45,own,2,high qualif/self emp/mgmt,2,yes,1
Medium,30,no credits/all paid,business,4280,Medium,1<=X<4,4,female div/dep/mar,4,car,26,rent,2,unskilled resident,1,yes,0
Low,24,all paid,new car,2325,Medium,4<=X<7,2,male single,3,car,32,own,1,skilled,1,yes,1
Medium,10,all paid,radio/tv,1048,Low,1<=X<4,4,male single,4,real estate,23,own,1,unskilled resident,1,yes,1
No Checking,21,existing paid,radio/tv,3160,No Savings,>=7,4,male single,3,life insurance,41,own,1,skilled,1,yes,1
Low,24,all paid,furniture/equipment,2483,High,1<=X<4,4,male single,4,real estate,22,own,1,skilled,1,yes,1
Low,39,critical/other existing credit,furniture/equipment,14179,No Savings,4<=X<7,4,male single,4,life insurance,30,own,2,high qualif/self emp/mgmt,1,yes,1
Low,13,critical/other existing credit,business,1797,Low,<1,3,male single,1,life insurance,28,own,2,unskilled resident,1,yes,1
Low,15,existing paid,new car,2511,Low,unemployed,1,female div/dep/mar,4,car,23,rent,1,skilled,1,yes,1
Low,12,existing paid,new car,1274,Low,<1,3,female div/dep/mar,1,real estate,37,own,1,unskilled resident,1,yes,0
No Checking,21,existing paid,used car,5248,No Savings,1<=X<4,1,male single,3,car,26,own,1,skilled,1,yes,1
No Checking,15,existing paid,used car,3029,Low,4<=X<7,2,male single,2,car,33,own,1,skilled,1,yes,1
Low,6,existing paid,furniture/equipment,428,Low,>=7,2,female div/dep/mar,1,life insurance,49,own,1,skilled,1,yes,1
Low,18,existing paid,new car,976,Low,<1,1,female div/dep/mar,2,car,23,own,1,unskilled resident,1,yes,0
Medium,12,existing paid,business,841,Medium,4<=X<7,2,female div/dep/mar,4,real estate,23,rent,1,unskilled resident,1,yes,1
No Checking,30,critical/other existing credit,radio/tv,5771,Low,4<=X<7,4,female div/dep/mar,2,car,25,own,2,skilled,1,yes,1
No Checking,12,delayed previously,repairs,1555,High,>=7,4,male single,4,no known property,55,for free,2,skilled,2,yes,0
Low,24,existing paid,new car,1285,No Savings,4<=X<7,4,female div/dep/mar,4,no known property,32,rent,1,skilled,1,yes,0
High,6,critical/other existing credit,new car,1299,Low,1<=X<4,1,male single,1,real estate,74,own,3,unemp/unskilled non res,2,no,1
High,15,critical/other existing credit,radio/tv,1271,No Savings,1<=X<4,3,male single,4,no known property,39,for free,2,skilled,1,yes,0
No Checking,24,existing paid,new car,1393,Low,1<=X<4,2,male single,2,real estate,31,own,1,skilled,1,yes,1
Low,12,critical/other existing credit,new car,691,Low,>=7,4,male single,3,life insurance,35,own,2,skilled,1,yes,0
No Checking,15,critical/other existing credit,new car,5045,No Savings,>=7,1,female div/dep/mar,4,car,59,own,1,skilled,1,yes,1
Low,18,critical/other existing credit,furniture/equipment,2124,Low,1<=X<4,4,female div/dep/mar,4,real estate,24,rent,2,skilled,1,yes,0
Low,12,existing paid,radio/tv,2214,Low,1<=X<4,4,male single,3,life insurance,24,own,1,unskilled resident,1,yes,1
No Checking,21,critical/other existing credit,new car,12680,No Savings,>=7,4,male single,4,no known property,30,for free,1,high qualif/self emp/mgmt,1,yes,0
No Checking,24,critical/other existing credit,new car,2463,Medium,4<=X<7,4,male mar/wid,3,life insurance,27,own,2,skilled,1,yes,1
Medium,12,existing paid,radio/tv,1155,Low,>=7,3,male mar/wid,3,real estate,40,own,2,unskilled resident,1,yes,1
Low,30,existing paid,furniture/equipment,3108,Low,<1,2,male div/sep,4,life insurance,31,own,1,unskilled resident,1,yes,0
No Checking,10,existing paid,used car,2901,No Savings,<1,1,female div/dep/mar,4,real estate,31,rent,1,skilled,1,yes,1
Medium,12,critical/other existing credit,furniture/equipment,3617,Low,>=7,1,male single,4,car,28,rent,3,skilled,1,yes,1
No Checking,12,critical/other existing credit,radio/tv,1655,Low,>=7,2,male single,4,real estate,63,own,2,unskilled resident,1,yes,1
Low,24,existing paid,used car,2812,No Savings,>=7,2,female div/dep/mar,4,real estate,26,rent,1,skilled,1,yes,1
Low,36,critical/other existing credit,education,8065,Low,1<=X<4,3,female div/dep/mar,2,no known property,25,own,2,high qualif/self emp/mgmt,1,yes,0
No Checking,21,critical/other existing credit,used car,3275,Low,>=7,1,male single,4,car,36,own,1,high qualif/self emp/mgmt,1,yes,1
No Checking,24,critical/other existing credit,radio/tv,2223,Medium,>=7,4,male single,4,life insurance,52,own,2,skilled,1,yes,1
High,12,critical/other existing credit,new car,1480,High,unemployed,2,male single,4,no known property,66,for free,3,unemp/unskilled non res,1,yes,1
Low,24,existing paid,new car,1371,No Savings,1<=X<4,4,female div/dep/mar,4,real estate,25,rent,1,skilled,1,yes,0
No Checking,36,critical/other existing credit,new car,3535,Low,4<=X<7,4,male single,4,car,37,own,2,skilled,1,yes,1
Low,18,existing paid,radio/tv,3509,Low,4<=X<7,4,female div/dep/mar,1,real estate,25,own,1,skilled,1,yes,1
No Checking,36,critical/other existing credit,used car,5711,High,>=7,4,male single,2,car,38,own,2,high qualif/self emp/mgmt,1,yes,1
Medium,18,existing paid,repairs,3872,Low,unemployed,2,female div/dep/mar,4,car,67,own,1,skilled,1,yes,1
Medium,39,critical/other existing credit,radio/tv,4933,Low,4<=X<7,2,male single,2,real estate,25,own,2,skilled,1,yes,0
No Checking,24,critical/other existing credit,new car,1940,High,>=7,4,male single,4,real estate,60,own,1,skilled,1,yes,1
Medium,12,no credits/all paid,retraining,1410,Low,1<=X<4,2,male single,2,real estate,31,own,1,unskilled resident,1,yes,1
Medium,12,existing paid,new car,836,Medium,<1,4,female div/dep/mar,2,life insurance,23,own,1,unskilled resident,1,yes,0
Medium,20,existing paid,used car,6468,No Savings,unemployed,1,male div/sep,4,real estate,60,own,1,high qualif/self emp/mgmt,1,yes,1
Medium,18,existing paid,business,1941,High,1<=X<4,4,male single,2,life insurance,35,own,1,unskilled resident,1,yes,1
No Checking,22,existing paid,radio/tv,2675,High,>=7,3,male single,4,car,40,own,1,skilled,1,yes,1
No Checking,48,critical/other existing credit,used car,2751,No Savings,>=7,4,male single,3,car,38,own,2,skilled,2,yes,1
Medium,48,delayed previously,education,6224,Low,>=7,4,male single,4,no known property,50,for free,1,skilled,1,yes,0
Low,40,critical/other existing credit,education,5998,Low,1<=X<4,4,male single,3,no known property,27,own,1,skilled,1,yes,0
Medium,21,existing paid,business,1188,Low,>=7,2,female div/dep/mar,4,life insurance,39,own,1,skilled,2,yes,0
No Checking,24,existing paid,used car,6313,No Savings,>=7,3,male single,4,car,41,own,1,high qualif/self emp/mgmt,2,yes,1
No Checking,6,critical/other existing credit,furniture/equipment,1221,No Savings,1<=X<4,1,male mar/wid,2,life insurance,27,own,2,skilled,1,yes,1
High,24,existing paid,furniture/equipment,2892,Low,>=7,3,male div/sep,4,no known property,51,for free,1,skilled,1,yes,1
No Checking,24,existing paid,furniture/equipment,3062,High,>=7,4,male single,3,no known property,32,rent,1,skilled,1,yes,1
No Checking,9,existing paid,furniture/equipment,2301,Medium,<1,2,female div/dep/mar,4,life insurance,22,rent,1,skilled,1,yes,1
Low,18,existing paid,used car,7511,No Savings,>=7,1,male single,4,life insurance,51,for free,1,skilled,2,yes,0
No Checking,12,critical/other existing credit,furniture/equipment,1258,Low,<1,2,female div/dep/mar,4,life insurance,22,rent,2,unskilled resident,1,yes,1
No Checking,24,delayed previously,new car,717,No Savings,>=7,4,male mar/wid,4,car,54,own,2,skilled,1,yes,1
Medium,9,existing paid,new car,1549,No Savings,<1,4,male single,2,real estate,35,own,1,unemp/unskilled non res,1,yes,1
No Checking,24,critical/other existing credit,education,1597,Low,>=7,4,male single,4,no known property,54,for free,2,skilled,2,yes,1
Medium,18,critical/other existing credit,radio/tv,1795,Low,>=7,3,female div/dep/mar,4,real estate,48,rent,2,unskilled resident,1,yes,1
Low,20,critical/other existing credit,furniture/equipment,4272,Low,>=7,1,female div/dep/mar,4,life insurance,24,own,2,skilled,1,yes,1
No Checking,12,critical/other existing credit,radio/tv,976,No Savings,>=7,4,male single,4,car,35,own,2,skilled,1,yes,1
Medium,12,existing paid,new car,7472,No Savings,unemployed,1,female div/dep/mar,2,real estate,24,rent,1,unemp/unskilled non res,1,yes,1
Low,36,existing paid,new car,9271,Low,4<=X<7,2,male single,1,car,24,own,1,skilled,1,yes,0
Medium,6,existing paid,radio/tv,590,Low,<1,3,male mar/wid,3,real estate,26,own,1,unskilled resident,1,no,1
No Checking,12,critical/other existing credit,radio/tv,930,No Savings,>=7,4,male single,4,real estate,65,own,4,skilled,1,yes,1
Medium,42,all paid,used car,9283,Low,unemployed,1,male single,2,no known property,55,for free,1,high qualif/self emp/mgmt,1,yes,1
Medium,15,no credits/all paid,new car,1778,Low,<1,2,female div/dep/mar,1,real estate,26,rent,2,unemp/unskilled non res,1,yes,0
Medium,8,existing paid,business,907,Low,<1,3,male mar/wid,2,real estate,26,own,1,skilled,1,yes,1
Medium,6,existing paid,radio/tv,484,Low,4<=X<7,3,male mar/wid,3,real estate,28,own,1,unskilled resident,1,yes,1
Low,36,critical/other existing credit,used car,9629,Low,4<=X<7,4,male single,4,car,24,own,2,skilled,1,yes,0
Low,48,existing paid,domestic appliance,3051,Low,1<=X<4,3,male single,4,car,54,own,1,skilled,1,yes,0
Low,48,existing paid,new car,3931,Low,4<=X<7,4,male single,4,no known property,46,for free,1,skilled,2,yes,0
Medium,36,delayed previously,new car,7432,Low,1<=X<4,2,female div/dep/mar,2,life insurance,54,rent,1,skilled,1,yes,1
No Checking,6,existing paid,domestic appliance,1338,High,1<=X<4,1,male div/sep,4,real estate,62,own,1,skilled,1,yes,1
No Checking,6,critical/other existing credit,radio/tv,1554,Low,4<=X<7,1,female div/dep/mar,2,car,24,rent,2,skilled,1,yes,1
Low,36,existing paid,other,15857,Low,unemployed,2,male div/sep,3,car,43,own,1,high qualif/self emp/mgmt,1,yes,1
Low,18,existing paid,radio/tv,1345,Low,1<=X<4,4,male mar/wid,3,real estate,26,own,1,skilled,1,yes,0
No Checking,12,existing paid,new car,1101,Low,1<=X<4,3,male mar/wid,2,real estate,27,own,2,skilled,1,yes,1
High,12,existing paid,radio/tv,3016,Low,1<=X<4,3,male mar/wid,1,car,24,own,1,skilled,1,yes,1
Low,36,existing paid,furniture/equipment,2712,Low,>=7,2,male single,2,life insurance,41,own,1,skilled,2,yes,0
Low,8,critical/other existing credit,new car,731,Low,>=7,4,male single,4,real estate,47,own,2,unskilled resident,1,yes,1
No Checking,18,critical/other existing credit,furniture/equipment,3780,Low,<1,3,male div/sep,2,car,35,own,2,high qualif/self emp/mgmt,1,yes,1
Low,21,critical/other existing credit,new car,1602,Low,>=7,4,male mar/wid,3,car,30,own,2,skilled,1,yes,1
Low,18,critical/other existing credit,new car,3966,Low,>=7,1,female div/dep/mar,4,real estate,33,rent,3,skilled,1,yes,0
No Checking,18,no credits/all paid,business,4165,Low,1<=X<4,2,male single,2,car,36,own,2,skilled,2,yes,0
Low,36,existing paid,used car,8335,No Savings,>=7,3,male single,4,no known property,47,for free,1,skilled,1,yes,0
Medium,48,delayed previously,business,6681,No Savings,1<=X<4,4,male single,4,no known property,38,for free,1,skilled,2,yes,1
No Checking,24,delayed previously,business,2375,High,1<=X<4,4,male single,2,car,44,own,2,skilled,2,yes,1
Low,18,existing paid,new car,1216,Low,<1,4,female div/dep/mar,3,car,23,rent,1,skilled,1,yes,0
Low,45,no credits/all paid,business,11816,Low,>=7,2,male single,4,car,29,rent,2,skilled,1,yes,0
Medium,24,existing paid,radio/tv,5084,No Savings,>=7,2,female div/dep/mar,4,car,42,own,1,skilled,1,yes,1
High,15,existing paid,radio/tv,2327,Low,<1,2,female div/dep/mar,3,real estate,25,own,1,unskilled resident,1,yes,0
Low,12,no credits/all paid,new car,1082,Low,1<=X<4,4,male single,4,car,48,own,2,skilled,1,yes,0
No Checking,12,existing paid,radio/tv,886,No Savings,1<=X<4,4,female div/dep/mar,2,car,21,own,1,skilled,1,yes,1
No Checking,4,existing paid,furniture/equipment,601,Low,<1,1,female div/dep/mar,3,real estate,23,rent,1,unskilled resident,2,yes,1
Low,24,critical/other existing credit,used car,2957,Low,>=7,4,male single,4,life insurance,63,own,2,skilled,1,yes,1
No Checking,24,critical/other existing credit,radio/tv,2611,Low,>=7,4,male mar/wid,3,real estate,46,own,2,skilled,1,yes,1
Low,36,existing paid,furniture/equipment,5179,Low,4<=X<7,4,male single,2,life insurance,29,own,1,skilled,1,yes,0
No Checking,21,delayed previously,used car,2993,Low,1<=X<4,3,male single,2,real estate,28,own,2,unskilled resident,1,yes,1
No Checking,18,existing paid,repairs,1943,Low,<1,4,female div/dep/mar,4,real estate,23,own,1,skilled,1,yes,0
No Checking,24,all paid,business,1559,Low,4<=X<7,4,male single,4,car,50,own,1,skilled,1,yes,1
No Checking,18,existing paid,furniture/equipment,3422,Low,>=7,4,male single,4,life insurance,47,own,3,skilled,2,yes,1
Medium,21,existing paid,furniture/equipment,3976,No Savings,4<=X<7,2,male single,3,car,35,own,1,skilled,1,yes,1
No Checking,18,existing paid,new car,6761,No Savings,1<=X<4,2,male single,4,car,68,rent,2,skilled,1,yes,0
No Checking,24,existing paid,new car,1249,Low,<1,4,male mar/wid,2,real estate,28,own,1,skilled,1,yes,1
Low,9,existing paid,radio/tv,1364,Low,4<=X<7,3,male single,4,real estate,59,own,1,skilled,1,yes,1
Low,12,existing paid,radio/tv,709,Low,>=7,4,male single,4,real estate,57,own,1,unskilled resident,1,yes,0
Low,20,critical/other existing credit,new car,2235,Low,1<=X<4,4,male mar/wid,2,life insurance,33,rent,2,skilled,1,no,0
No Checking,24,critical/other existing credit,used car,4042,No Savings,4<=X<7,3,male single,4,life insurance,43,own,2,skilled,1,yes,1
No Checking,15,critical/other existing credit,radio/tv,1471,Low,1<=X<4,4,male single,4,no known property,35,for free,2,skilled,1,yes,1
Low,18,all paid,new car,1442,Low,4<=X<7,4,male single,4,no known property,32,for free,2,unskilled resident,2,yes,0
No Checking,36,delayed previously,new car,10875,Low,>=7,2,male single,2,car,45,own,2,skilled,2,yes,1
No Checking,24,existing paid,new car,1474,Medium,<1,4,male mar/wid,3,real estate,33,own,1,skilled,1,yes,1
No Checking,10,existing paid,retraining,894,No Savings,4<=X<7,4,female div/dep/mar,3,life insurance,40,own,1,skilled,1,yes,1
No Checking,15,critical/other existing credit,furniture/equipment,3343,Low,1<=X<4,4,male single,2,no known property,28,for free,1,skilled,1,yes,1
Low,15,existing paid,new car,3959,Low,1<=X<4,3,female div/dep/mar,2,life insurance,29,own,1,skilled,1,yes,0
No Checking,9,existing paid,new car,3577,Medium,1<=X<4,1,male single,2,real estate,26,rent,1,skilled,2,no,1
No Checking,24,critical/other existing credit,used car,5804,High,1<=X<4,4,male single,2,real estate,27,own,2,skilled,1,yes,1
No Checking,18,delayed previously,business,2169,Low,1<=X<4,4,male mar/wid,2,car,28,own,1,skilled,1,yes,0
Low,24,existing paid,radio/tv,2439,Low,<1,4,female div/dep/mar,4,real estate,35,own,1,skilled,1,yes,0
No Checking,27,critical/other existing credit,furniture/equipment,4526,High,<1,4,male single,2,real estate,32,own,2,unskilled resident,2,yes,1
No Checking,10,existing paid,furniture/equipment,2210,Low,1<=X<4,2,male single,2,real estate,25,rent,1,unskilled resident,1,yes,0
No Checking,15,existing paid,furniture/equipment,2221,High,1<=X<4,2,female div/dep/mar,4,car,20,rent,1,skilled,1,yes,1
Low,18,existing paid,radio/tv,2389,Low,<1,4,female div/dep/mar,1,car,27,own,1,skilled,1,yes,1
No Checking,12,critical/other existing credit,furniture/equipment,3331,Low,>=7,2,male single,4,life insurance,42,own,1,skilled,1,yes,1
No Checking,36,existing paid,business,7409,No Savings,>=7,3,male single,2,life insurance,37,own,2,skilled,1,yes,1
Low,12,existing paid,furniture/equipment,652,Low,>=7,4,female div/dep/mar,4,life insurance,24,rent,1,skilled,1,yes,1
No Checking,36,delayed previously,furniture/equipment,7678,High,4<=X<7,2,female div/dep/mar,4,car,40,own,2,skilled,1,yes,1
High,6,critical/other existing credit,new car,1343,Low,>=7,1,male single,4,real estate,46,own,2,skilled,2,no,1
Low,24,critical/other existing credit,business,1382,Medium,4<=X<7,4,male single,1,real estate,26,own,2,skilled,1,yes,1
No Checking,15,existing paid,domestic appliance,874,No Savings,<1,4,female div/dep/mar,1,real estate,24,own,1,skilled,1,yes,1
Low,12,existing paid,furniture/equipment,3590,Low,1<=X<4,2,male single,2,life insurance,29,own,1,unskilled resident,2,yes,1
Medium,11,critical/other existing credit,new car,1322,High,1<=X<4,4,female div/dep/mar,4,car,40,own,2,skilled,1,yes,1
Low,18,all paid,radio/tv,1940,Low,<1,3,male single,4,no known property,36,for free,1,high qualif/self emp/mgmt,1,yes,1
No Checking,36,existing paid,radio/tv,3595,Low,>=7,4,male single,2,car,28,own,1,skilled,1,yes,1
Low,9,existing paid,new car,1422,Low,<1,3,male single,2,no known property,27,for free,1,high qualif/self emp/mgmt,1,yes,0
No Checking,30,critical/other existing credit,radio/tv,6742,No Savings,4<=X<7,2,male single,3,life insurance,36,own,2,skilled,1,yes,1
No Checking,24,existing paid,used car,7814,Low,4<=X<7,3,male single,3,car,38,own,1,high qualif/self emp/mgmt,1,yes,1
No Checking,24,existing paid,used car,9277,No Savings,1<=X<4,2,male div/sep,4,no known property,48,for free,1,skilled,1,yes,1
Medium,30,critical/other existing credit,new car,2181,No Savings,>=7,4,male single,4,real estate,36,own,2,skilled,1,yes,1
No Checking,18,critical/other existing credit,radio/tv,1098,Low,unemployed,4,female div/dep/mar,4,car,65,own,2,unemp/unskilled non res,1,yes,1
Medium,24,existing paid,furniture/equipment,4057,Low,4<=X<7,3,male div/sep,3,car,43,own,1,skilled,1,yes,0
Low,12,existing paid,education,795,Low,<1,4,female div/dep/mar,4,life insurance,53,own,1,skilled,1,yes,0
Medium,24,critical/other existing credit,business,2825,No Savings,4<=X<7,4,male single,3,no known property,34,own,2,skilled,2,yes,1
Medium,48,existing paid,business,15672,Low,1<=X<4,2,male single,2,car,23,own,1,skilled,1,yes,0
No Checking,36,critical/other existing credit,new car,6614,Low,>=7,4,male single,4,car,34,own,2,high qualif/self emp/mgmt,1,yes,1
No Checking,28,all paid,used car,7824,No Savings,<1,3,male single,4,real estate,40,rent,2,skilled,2,yes,1
Low,27,critical/other existing credit,business,2442,Low,>=7,4,male single,4,car,43,own,4,high qualif/self emp/mgmt,2,yes,1
No Checking,15,critical/other existing credit,radio/tv,1829,Low,>=7,4,male single,4,car,46,own,2,skilled,1,yes,1
Low,12,critical/other existing credit,new car,2171,Low,1<=X<4,4,male single,4,life insurance,38,own,2,unskilled resident,1,no,1
Medium,36,critical/other existing credit,used car,5800,Low,1<=X<4,3,male single,4,car,34,own,2,skilled,1,yes,1
No Checking,18,critical/other existing credit,radio/tv,1169,No Savings,1<=X<4,4,male single,3,life insurance,29,own,2,skilled,1,yes,1
No Checking,36,delayed previously,used car,8947,No Savings,4<=X<7,3,male single,2,car,31,own,1,high qualif/self emp/mgmt,2,yes,1
Low,21,existing paid,radio/tv,2606,Low,<1,4,female div/dep/mar,4,life insurance,28,rent,1,high qualif/self emp/mgmt,1,yes,1
No Checking,12,critical/other existing credit,furniture/equipment,1592,High,4<=X<7,3,female div/dep/mar,2,life insurance,35,own,1,skilled,1,no,1
No Checking,15,existing paid,furniture/equipment,2186,No Savings,4<=X<7,1,female div/dep/mar,4,real estate,33,rent,1,unskilled resident,1,yes,1
Low,18,existing paid,furniture/equipment,4153,Low,1<=X<4,2,male single,3,car,42,own,1,skilled,1,yes,0
Low,16,critical/other existing credit,new car,2625,Low,>=7,2,male single,4,life insurance,43,rent,1,skilled,1,yes,0
No Checking,20,critical/other existing credit,new car,3485,No Savings,<1,2,male div/sep,4,real estate,44,own,2,skilled,1,yes,1
No Checking,36,critical/other existing credit,used car,10477,No Savings,>=7,2,male single,4,no known property,42,for free,2,skilled,1,yes,1
No Checking,15,existing paid,radio/tv,1386,No Savings,1<=X<4,4,male mar/wid,2,real estate,40,rent,1,skilled,1,yes,1
No Checking,24,existing paid,radio/tv,1278,Low,>=7,4,male single,1,real estate,36,own,1,high qualif/self emp/mgmt,1,yes,1
Low,12,existing paid,radio/tv,1107,Low,1<=X<4,2,male single,2,real estate,20,rent,1,high qualif/self emp/mgmt,2,yes,1
Low,21,existing paid,new car,3763,No Savings,4<=X<7,2,male single,2,real estate,24,own,1,unskilled resident,1,no,1
Medium,36,existing paid,education,3711,No Savings,1<=X<4,2,male mar/wid,2,car,27,own,1,skilled,1,yes,1
No Checking,15,delayed previously,used car,3594,Low,<1,1,female div/dep/mar,2,life insurance,46,own,2,unskilled resident,1,yes,1
